requirement,category
Para 4.1.1 ,General Guidelines 
Para 4.1.2 ,General Guidelines 
Para 4.1.3 ,General Guidelines 
Para 4.1.4 ,General Guidelines 
Para 4.1.5 ,General Guidelines 
Para 4.1.6 ,General Guidelines 
Para 4.2.1 ,Land Use and Quantum 
Para 4.2.2 ,Land Use and Quantum 
Para 4.2.3 ,Land Use and Quantum 
Para 4.2.4 ,Land Use and Quantum 
Para 4.2.5 ,Land Use and Quantum 
Para 4.2.6 ,Land Use and Quantum 
Para 4.2.7 ,Land Use and Quantum 
Para 4.2.8 ,Land Use and Quantum 
Para 4.2.9 ,Land Use and Quantum 
Para 4.2.10 ,Land Use and Quantum 
Para 4.2.11 ,Land Use and Quantum 
"Para 4.2.12, reference 4.2",Land Use and Quantum 
Para 4.2.13 ,Land Use and Quantum 
Para 4.2.14 ,Land Use and Quantum 
Para 4.2.15 ,Land Use and Quantum 
Para 4.2.16 ,Land Use and Quantum 
Para 4.2.17 ,Land Use and Quantum 
